iteration ; Loss ; acc ; valLoss ; valAcc
1;1.66383256;0.38824;2.131720089;0.4077
2;1.254412952;0.55258;1.153483096;0.6233
3;0.956497118;0.66202;1.049557049;0.6621
4;0.896726052;0.68876;0.819700084;0.7273
5;0.78025214;0.72794;0.69445354;0.7711
6;0.686242467;0.76226;0.645165594;0.7825
7;0.667721244;0.76786;0.675828668;0.7809
8;0.601591157;0.79248;0.627129016;0.7959
9;0.570389582;0.8044;0.589771356;0.8111
10;0.547304894;0.8105;0.550231486;0.8221
11;0.513296108;0.82364;0.544298766;0.8269
12;0.505874602;0.82698;0.573294002;0.8189
13;0.482108409;0.83244;0.558010301;0.8222
14;0.465872862;0.8409;0.50932838;0.8331
15;0.4503174;0.84424;0.499746797;0.8446
16;0.434087159;0.84842;0.509651637;0.8422
17;0.429887149;0.8518;0.442002384;0.8535
18;0.41513564;0.85638;0.470580869;0.85
19;0.40416199;0.86076;0.416252397;0.8672
20;0.396778092;0.8644;0.50226636;0.8395
21;0.387866703;0.8658;0.495281834;0.8453
22;0.380492753;0.86838;0.461986586;0.8543
23;0.369307134;0.8714;0.431758944;0.8644
24;0.360992156;0.87478;0.431264096;0.8618
25;0.363550051;0.8736;0.407966458;0.8678
26;0.348843492;0.87884;0.405426302;0.8705
27;0.343492569;0.88004;0.433861558;0.8664
28;0.343894613;0.88098;0.36852562;0.8838
29;0.331013103;0.88646;0.429028877;0.8689
30;0.319630613;0.88882;0.417847161;0.871
31;0.321727957;0.88828;0.448337786;0.8572
32;0.314535785;0.8924;0.44841469;0.8647
33;0.310528505;0.89188;0.378794066;0.8781
34;0.307640619;0.89246;0.413414917;0.8734
35;0.300695968;0.89342;0.387810021;0.878
36;0.298198323;0.89858;0.432916794;0.8683
37;0.297110147;0.89668;0.388152262;0.8803
38;0.290670799;0.89964;0.356919666;0.889
39;0.28364033;0.90124;0.414916627;0.8756
40;0.278999189;0.90298;0.372765458;0.8879
41;0.274753387;0.9048;0.371358023;0.8896
