iteration , Loss , acc , valLoss , valAcc
1 ,1.5214827437782288 ,0.4404 ,1.3637557094573975 ,0.5371
2 ,1.0311607176208497 ,0.63278 ,0.8929236821651458 ,0.694
3 ,0.7121303274536133 ,0.7524 ,0.6654499101638794 ,0.7692
4 ,0.6822649250602723 ,0.764 ,0.7322344737052917 ,0.7507
5 ,0.5637799328041077 ,0.805 ,0.5298913511037826 ,0.8199
6 ,0.4244342353200912 ,0.85348 ,0.569684046292305 ,0.8074
7 ,0.42450905369281766 ,0.84994 ,0.5208320353031158 ,0.8265
8 ,0.3032328214764595 ,0.89368 ,0.518999819803238 ,0.8364
9 ,0.2635167368733883 ,0.90702 ,0.6051370728731156 ,0.8218
10 ,0.23097544385671614 ,0.9174 ,0.546408192896843 ,0.8363
11 ,0.16929943483531476 ,0.93988 ,0.5960676556587219 ,0.8354
12 ,0.16516929416239262 ,0.94012 ,0.6179334601640701 ,0.8319
13 ,0.13451181857913733 ,0.95148 ,0.6294232989192009 ,0.8373
14 ,0.11592539310321212 ,0.95942 ,0.6504802442193032 ,0.8331
15 ,0.10706474253423512 ,0.96146 ,0.6803431224107742 ,0.8363
16 ,0.09433754835188389 ,0.96564 ,0.6946801618814469 ,0.8387
17 ,0.08393722047761083 ,0.9702 ,0.7038933031797409 ,0.834
18 ,0.07869122119180857 ,0.97216 ,0.7592216206073761 ,0.8317
19 ,0.07088966751612723 ,0.9755 ,0.7412752326250076 ,0.8407
20 ,0.06986156097747385 ,0.97552 ,0.7798123950481415 ,0.8343
21 ,0.06682626733304933 ,0.9765 ,0.7729028777360916 ,0.8305
22 ,0.057214779139924794 ,0.97986 ,0.7916415820360184 ,0.8348
23 ,0.06005594079555943 ,0.979 ,0.7724336205124855 ,0.8378
24 ,0.05894256046710536 ,0.97942 ,0.7945010539501905 ,0.8338
25 ,0.052203573505096135 ,0.9812 ,0.8677767661303282 ,0.8297
