iteration , Loss , acc , valLoss , valAcc
1 ,1.4800890740585326 ,0.45794 ,1.2269761207580567 ,0.5621
2 ,0.9843080094146729 ,0.65032 ,0.9353924900054932 ,0.6698
3 ,0.6468121216201782 ,0.77622 ,0.700733057308197 ,0.7624
4 ,0.6054063055324554 ,0.79138 ,0.8885581374645233 ,0.6982
5 ,0.4699532602930069 ,0.83848 ,0.5427561795711517 ,0.8175
6 ,0.2832229407191277 ,0.90268 ,0.5703051641464233 ,0.8111
7 ,0.28281452678203584 ,0.90012 ,0.605290578365326 ,0.8209
8 ,0.13188747042775154 ,0.95448 ,0.7283830606460572 ,0.8146
9 ,0.09402019768729807 ,0.96824 ,0.8655996456980706 ,0.7972
10 ,0.08000660860754549 ,0.97286 ,0.803734748339653 ,0.8292
11 ,0.03392180622432381 ,0.9891 ,0.8863213321208954 ,0.8225
12 ,0.04279088677045889 ,0.98532 ,0.9820029101014137 ,0.8213
13 ,0.030100633536824024 ,0.98986 ,0.925615910935402 ,0.8252
14 ,0.02640353400742635 ,0.9915 ,1.0451932942390443 ,0.8155
15 ,0.027550670234523712 ,0.99066 ,1.0519334182013758 ,0.8166
16 ,0.020293813325562515 ,0.99304 ,1.1561817746639251 ,0.8007
17 ,0.02168205845720018 ,0.99286 ,1.0826133961081505 ,0.822
18 ,0.018746934257659595 ,0.99356 ,1.0610454441785813 ,0.8217
19 ,0.014999084891424281 ,0.9945 ,1.1518234795331954 ,0.8137
20 ,0.018522683528455673 ,0.99372 ,1.056297454893589 ,0.8236
21 ,0.017067113402067915 ,0.99398 ,1.1510093683719635 ,0.8142
22 ,0.016184861701420743 ,0.99462 ,1.2232384785652162 ,0.8101
23 ,0.01449405183695082 ,0.99502 ,1.114774923634529 ,0.8225
24 ,0.015436624542616774 ,0.99462 ,1.2266951670408248 ,0.8134
25 ,0.013593771237970795 ,0.99526 ,1.259524175977707 ,0.8041
