iteration , Loss , acc , valLoss , valAcc;;
1 ,1.6078625553131103 ,0.41422 ,3.5020152456082476 ,0.2703;;
2 ,1.1707871113204955 ,0.58714 ,1.099230967961942 ,0.6166;;
3 ,0.8919329773139953 ,0.68794 ,0.8917607031881619 ,0.6983;;
4 ,0.8350842366600036 ,0.71038 ,0.9168085274033653 ,0.7008;;
5 ,0.725220948600769 ,0.74926 ,0.785710134540503 ,0.7498;;
6 ,0.6248863677406311 ,0.78504 ,0.6852509510783723 ,0.7749;;
7 ,0.61175328956604 ,0.79092 ,0.6242007701494061 ,0.7966;;
8 ,0.5413982072544098 ,0.81494 ,0.6128770023965227 ,0.8062;;
9 ,0.5153211572837829 ,0.8231 ,0.5750449738515833 ,0.8126;;
10 ,0.4912348508453369 ,0.83074 ,0.560029216253529 ,0.8166;;
11 ,0.45752833035469054 ,0.84212 ,0.7282394223605482 ,0.7851;;
12 ,0.44403909455776214 ,0.84568 ,0.6065742245878274 ,0.8129;;
13 ,0.41372916753768924 ,0.85774 ,0.4808652183403984 ,0.8433;;
14 ,0.40783378406524656 ,0.8594 ,0.588363308185777 ,0.8211;;
15 ,0.3885887776947021 ,0.86604 ,0.5286720511488641 ,0.8332;;
16 ,0.3721464795875549 ,0.87072 ,0.48848662565881834 ,0.8454;;
17 ,0.36580843804359436 ,0.87374 ,0.4954001347001749 ,0.8436;;
18 ,0.3515326030731201 ,0.878 ,0.4468676936857331 ,0.8612;;
19 ,0.3408194043421745 ,0.88178 ,0.48951934370846034 ,0.8461;;
20 ,0.3304355518436432 ,0.8855 ,0.4959508911156045 ,0.8455;;
21 ,0.3223341336297989 ,0.88878 ,0.5086148260072016 ,0.8451;;
22 ,0.31689215359687806 ,0.89016 ,0.49164962789978084 ,0.8498;;
23 ,0.30780166038274764 ,0.89294 ,0.4602188357886986 ,0.8622;;
24 ,0.29895382974386214 ,0.89596 ,0.4550300513426907 ,0.8608;;
25 ,0.2855923188018799 ,0.90014 ,0.47209362682109823 ,0.8595;;
;;
;;
;;
;;
;;
;;
;;
clr ;0.001;0.006
global averaging;;
x_train/255;;
