iteration , Loss , acc , valLoss , valAcc;;
1 ,1.8028574538421631 ,0.32256 ,2.2616121746099793 ,0.3518;;
2 ,1.4465124909973144 ,0.47278 ,1.9605718786343218 ,0.4933;;
3 ,1.090869126815796 ,0.61086 ,1.318724977703521 ,0.5634;;
4 ,1.0964359300231934 ,0.61152 ,1.4278452453521875 ,0.562;;
5 ,0.9013216749382019 ,0.68518 ,0.7989916053062049 ,0.7396;;
6 ,0.7650610408782959 ,0.73532 ,0.9359022138027338 ,0.7082;;
7 ,0.7863182639122009 ,0.72934 ,0.7874806184357348 ,0.7494;;
8 ,0.6500065176010131 ,0.77516 ,0.6323228903090992 ,0.7986;;
9 ,0.6321483569812775 ,0.78048 ,0.6517992770424286 ,0.7905;;
10 ,0.6019567471599578 ,0.7913 ,0.6498162583611644 ,0.7962;;
11 ,0.5404147458267212 ,0.81406 ,0.63681656919634 ,0.7994;;
12 ,0.5437580814456939 ,0.81186 ,0.6245008680386285 ,0.7994;;
13 ,0.5101163953304291 ,0.82504 ,0.5627501855214564 ,0.822;;
14 ,0.49034096161842344 ,0.83096 ,0.5359619453120917 ,0.8257;;
15 ,0.48642981209754943 ,0.83288 ,0.5407038857809271 ,0.8269;;
16 ,0.46400006649017334 ,0.83982 ,0.5645957350397643 ,0.8234;;
17 ,0.46867708683490755 ,0.83902 ,0.5814693229028973 ,0.8223;;
18 ,0.4588486789083481 ,0.8421 ,0.5233253414828938 ,0.8315;;
19 ,0.44435595943927764 ,0.84746 ,0.5216020645615392 ,0.8343;;
20 ,0.441407270731926 ,0.84686 ,0.5162167209453477 ,0.8345;;
21 ,0.439486909031868 ,0.84706 ,0.5310277668908 ,0.8341;;
22 ,0.43387493733882904 ,0.84972 ,0.4848941911380893 ,0.8436;;
23 ,0.42578409242630005 ,0.85246 ,0.4946977342850865 ,0.8404;;
24 ,0.42063944423675537 ,0.85448 ,0.5059673788662726 ,0.8373;;
25 ,0.41566293216228484 ,0.85474 ,0.4924592776372791 ,0.8455;;
;;
;;
;;
clr ;0.001;0.1
global averaging;;
