iteration , Loss , acc , valLoss , valAcc;;
1 ,1.6360110669326782 ,0.39988 ,2.769408823963933 ,0.3656;;
2 ,1.190789377822876 ,0.57498 ,1.0142086367256724 ,0.6553;;
3 ,0.900569969291687 ,0.68526 ,0.79140121077958 ,0.7301;;
4 ,0.8388808588886261 ,0.70912 ,0.8178827910187145 ,0.7298;;
5 ,0.7173858540153504 ,0.75058 ,0.635686317857462 ,0.786;;
6 ,0.6094194318199158 ,0.78846 ,0.7042614526261156 ,0.7767;;
7 ,0.6000431801319123 ,0.79538 ,0.593055572467871 ,0.8026;;
8 ,0.526291516623497 ,0.81954 ,0.5023285632792373 ,0.8332;;
9 ,0.49779539068222045 ,0.82764 ,0.5675656928326756 ,0.8183;;
10 ,0.478710860748291 ,0.83574 ,0.526005134629175 ,0.8332;;
11 ,0.4372916166496277 ,0.84898 ,0.4743231201943117 ,0.8403;;
12 ,0.4281749316358566 ,0.85176 ,0.5312988319145605 ,0.8373;;
13 ,0.40147820720672606 ,0.86114 ,0.5080762830928872 ,0.8426;;
14 ,0.3865069701194763 ,0.86636 ,0.4792967397041214 ,0.8487;;
15 ,0.3850613983082771 ,0.86622 ,0.4457223679358586 ,0.8551;;
16 ,0.3588352207660675 ,0.87862 ,0.4571419243995374 ,0.8547;;
17 ,0.3572189076757431 ,0.8782 ,0.41920671487054506 ,0.8623;;
18 ,0.33854281437158584 ,0.8836 ,0.4791490863830137 ,0.854;;
19 ,0.3292783808493614 ,0.8851 ,0.4380900614891951 ,0.8666;;
20 ,0.31773866646766663 ,0.89052 ,0.38855739615072077 ,0.8752;;
21 ,0.30616221890687945 ,0.89406 ,0.3789570454519968 ,0.876;;
22 ,0.2982128587055206 ,0.89834 ,0.41145672675329276 ,0.8683;;
23 ,0.28677296729445456 ,0.90058 ,0.4363234856912789 ,0.8664;;
24 ,0.28382023327827455 ,0.90328 ,0.38562297096220066 ,0.8773;;
25 ,0.2762216406130791 ,0.90388 ,0.42057728899505953 ,0.8688;;
;;
;;
;;
;;
clr;0.001;0.006
std mean;;
