iteration , Loss , acc , valLoss , valAcc
1 ,1.9538009378433228 ,0.29652 ,3.808049705462715 ,0.2465
2 ,1.7523244553375243 ,0.37494 ,1.9164982280030418 ,0.4053
3 ,1.3197236037826539 ,0.5208 ,1.3748282784471115 ,0.5366
4 ,1.4291961779785156 ,0.49272 ,1.5138506691295879 ,0.5304
5 ,1.1741720288467408 ,0.5825 ,0.9728104218888206 ,0.6599
6 ,0.9921186673927307 ,0.64782 ,1.5199878686152326 ,0.5809
7 ,1.0539417502975463 ,0.6297 ,0.8406140749066021 ,0.7021
8 ,0.8369606842041015 ,0.70536 ,0.8127741030991649 ,0.7286
9 ,0.822650496225357 ,0.7128 ,1.0307762759942978 ,0.658
10 ,0.774062007522583 ,0.72906 ,0.7283459644728956 ,0.7634
11 ,0.6867464986801147 ,0.7594 ,0.7353664762295854 ,0.7653
12 ,0.6869151652336121 ,0.7612 ,0.7324957753332278 ,0.759
13 ,0.6320969402694702 ,0.7801 ,0.6467726393439137 ,0.7912
14 ,0.6121468981647491 ,0.78698 ,0.7064678362383249 ,0.776
15 ,0.6033071987533569 ,0.79126 ,0.6513044270939721 ,0.7963
16 ,0.5677302167320252 ,0.803 ,0.6090820151300856 ,0.7983
17 ,0.5627658729076386 ,0.80632 ,0.5788409039616204 ,0.8095
18 ,0.5416136699056625 ,0.814 ,0.5678390955772644 ,0.8147
19 ,0.5364865165233612 ,0.81426 ,0.5704210617195684 ,0.8141
20 ,0.5240226781749725 ,0.82014 ,0.549157148709122 ,0.8209
21 ,0.5184346821689606 ,0.82032 ,0.5470363013089274 ,0.822
22 ,0.5068729607105256 ,0.82416 ,0.5658533988764491 ,0.8173
23 ,0.5037257490062713 ,0.82632 ,0.5689238919474827 ,0.8164
24 ,0.48858655451774596 ,0.83174 ,0.5592535994113824 ,0.8193
25 ,0.4852925249385834 ,0.83146 ,0.5422753539329139 ,0.8266
