iteration , Loss , acc , valLoss , valAcc
1 ,2.4957788543701174 ,0.2147 ,2.4850590618133546 ,0.2234
2 ,2.1427531013488768 ,0.31544 ,1.974003769683838 ,0.3719
3 ,1.9253236345291138 ,0.38248 ,1.8373700630187988 ,0.4117
4 ,1.792780669593811 ,0.42218 ,1.699108664703369 ,0.4611
5 ,1.6903918747711182 ,0.45236 ,1.6012248302459717 ,0.4851
6 ,1.613575888557434 ,0.48168 ,1.8386730792999268 ,0.4067
7 ,1.5420235067749024 ,0.51226 ,1.5851908304214477 ,0.5024
8 ,1.4615117055511475 ,0.54502 ,1.4430773387908935 ,0.5639
9 ,1.3880930088424683 ,0.58168 ,1.3081310495376588 ,0.6104
10 ,1.3284844481277467 ,0.61178 ,1.3792819171905517 ,0.5953
11 ,1.2750777822875976 ,0.63974 ,1.2912067070007325 ,0.6313
12 ,1.233509994430542 ,0.66284 ,1.3423539834976197 ,0.63
13 ,1.2017048335075378 ,0.68036 ,1.21507939453125 ,0.6817
14 ,1.192386803855896 ,0.6886 ,1.2952216979980469 ,0.6633
15 ,1.1633402966117858 ,0.7053 ,1.2606991304397583 ,0.6716
16 ,1.1461857325553895 ,0.71356 ,1.1519047428131104 ,0.7136
17 ,1.1400624548339844 ,0.72332 ,1.0893604578018188 ,0.7429
18 ,1.133276321105957 ,0.72636 ,1.1888496908187867 ,0.7078
19 ,1.1347209536743164 ,0.73044 ,1.1406523147583008 ,0.7318
20 ,1.1256634643554688 ,0.73484 ,1.143201214313507 ,0.7305
21 ,1.1153732745742797 ,0.7416 ,1.0858823194503784 ,0.7539
22 ,1.1146158055877686 ,0.74318 ,1.320239670753479 ,0.6952
23 ,1.1219157388687133 ,0.74426 ,1.2064854118347168 ,0.717
24 ,1.1128734972000123 ,0.74898 ,1.1168482200622558 ,0.7545
25 ,1.1092971494674682 ,0.7532 ,1.140001323890686 ,0.745
26 ,1.1046193209075927 ,0.75594 ,1.1865369930267333 ,0.7221
27 ,1.1041178215408325 ,0.75582 ,1.081938116455078 ,0.7733
28 ,1.1051173153305054 ,0.7595 ,1.1524979124069215 ,0.738
29 ,1.1003776557922362 ,0.76136 ,1.230457415008545 ,0.7091
30 ,1.0924081703567505 ,0.76402 ,1.2882963142395019 ,0.7028
31 ,1.1006765422439575 ,0.76106 ,1.2135546668052672 ,0.728
32 ,1.0884477237701415 ,0.76712 ,1.179267049407959 ,0.7417
33 ,1.0878723038482665 ,0.76938 ,1.1173163368225099 ,0.761
34 ,1.0868534498214721 ,0.77218 ,1.1143917888641357 ,0.7606
35 ,1.08324181848526 ,0.77248 ,1.073633144760132 ,0.7773
36 ,1.0860217545318605 ,0.77314 ,1.080554594039917 ,0.781
37 ,1.0825699003219604 ,0.77414 ,1.1964141986846923 ,0.7357
38 ,1.0813893239212036 ,0.77506 ,1.202115696334839 ,0.7326
39 ,1.0791624418258667 ,0.77632 ,1.104685432434082 ,0.7694
40 ,1.0848022687149048 ,0.77454 ,1.0884283632278442 ,0.7808
41 ,1.0847282902908326 ,0.77726 ,1.1603105503082276 ,0.7545
42 ,1.0903917167663575 ,0.7766 ,1.2046254803657532 ,0.74
43 ,1.0818702684783936 ,0.77848 ,1.1664711755752564 ,0.7511
44 ,1.076954487247467 ,0.77912 ,1.1498626083374024 ,0.7563
45 ,1.0796965957069398 ,0.7797 ,1.1051263249397278 ,0.7721
46 ,1.079498455104828 ,0.77888 ,1.127277950000763 ,0.7681
47 ,1.0781116003799438 ,0.78202 ,1.0792134073257447 ,0.7854
48 ,1.0768576272964479 ,0.78418 ,1.1340588655471802 ,0.7624
49 ,1.0732014376068115 ,0.78438 ,1.239704912185669 ,0.7294
50 ,1.078514102973938 ,0.78302 ,1.0970669870376586 ,0.7827
51 ,1.074714756011963 ,0.78464 ,1.1649719493865967 ,0.7546
52 ,1.076664833946228 ,0.78578 ,1.085653839302063 ,0.7884
53 ,1.0754380155563354 ,0.7864 ,1.1472938558578492 ,0.7653
54 ,1.0726468821716308 ,0.78482 ,1.0782218170166016 ,0.7899
55 ,1.0732486754608155 ,0.78708 ,1.1059471576690674 ,0.7725
56 ,1.073915266571045 ,0.78806 ,1.0899273698806762 ,0.7863
57 ,1.0746349701690674 ,0.78698 ,1.3240916593551635 ,0.687
58 ,1.0706015145111083 ,0.78976 ,1.1659438592910767 ,0.7515
59 ,1.0705716257095337 ,0.78878 ,1.0907313102722167 ,0.7906
60 ,1.0668801648330688 ,0.79048 ,1.1993907238006591 ,0.7419
61 ,1.0728006059646606 ,0.78804 ,1.266669465637207 ,0.7152
62 ,1.069826284828186 ,0.78924 ,1.1143488998413087 ,0.7818
63 ,1.0723785823440553 ,0.78918 ,1.127604617881775 ,0.7706
64 ,1.0669646438217164 ,0.79242 ,1.0545006736755371 ,0.7992
65 ,1.0671086260604858 ,0.79246 ,1.1209426510810852 ,0.7751
66 ,1.066600665359497 ,0.79226 ,1.1600977905273437 ,0.7584
67 ,1.0656480245399476 ,0.7928 ,1.0756729291915894 ,0.7955
68 ,1.0698569311904906 ,0.791 ,1.170651666355133 ,0.7604
69 ,1.064694150466919 ,0.79482 ,1.0792925840377807 ,0.789
