iteration , Loss , acc , valLoss , valAcc;
1 ,2.249098799133301 ,0.27794 ,2.307049477824007 ,0.2114;
2 ,2.07816054359436 ,0.27676 ,2.2011348222391294 ,0.2292;
3 ,1.9071453759384156 ,0.31632 ,2.045073161109949 ,0.3154;
4 ,1.9058185000610353 ,0.34268 ,1.8908958054198244 ,0.34;
5 ,1.8078290240478516 ,0.36782 ,1.6201243122545674 ,0.4376;
6 ,1.7043718989562988 ,0.40854 ,1.625740499161303 ,0.4391;
7 ,1.6993014126205443 ,0.41796 ,1.5672647077054642 ,0.4742;
8 ,1.616482334022522 ,0.45126 ,1.4474497513649183 ,0.5012;
9 ,1.6031339262390136 ,0.4568 ,1.5088379992463719 ,0.4886;
10 ,1.5826001599502564 ,0.46634 ,1.4225238034138665 ,0.5269;
11 ,1.5434074761199952 ,0.4801 ,1.5640306693677324 ,0.4831;
12 ,1.5446155749130248 ,0.48474 ,1.4233355682117108 ,0.5248;
13 ,1.5204877338409424 ,0.4963 ,1.423090453917226 ,0.5446;
14 ,1.5078481169509887 ,0.49824 ,1.3583433618560767 ,0.5475;
15 ,1.499239712562561 ,0.50324 ,1.3419372241337078 ,0.5529;
16 ,1.477687192802429 ,0.51392 ,1.3329782586889907 ,0.5668;
17 ,1.4774604219436644 ,0.51462 ,1.3662578958672837 ,0.5504;
18 ,1.4675291918945312 ,0.5192 ,1.2870369264112114 ,0.5776;
19 ,1.4604118642807007 ,0.51912 ,1.24495973011937 ,0.5987;
20 ,1.4528898684692382 ,0.5258 ,1.3516425572264308 ,0.5576;
21 ,1.4455851134490967 ,0.52598 ,1.2789720913853508 ,0.5881;
22 ,1.4394298542022705 ,0.53236 ,1.2878301233148421 ,0.5847;
23 ,1.4393633483505248 ,0.53452 ,1.3533647909712867 ,0.5634;
24 ,1.4316501631546021 ,0.53518 ,1.3160547602671784 ,0.5864;
25 ,1.4249403511047363 ,0.53784 ,1.2763327737204946 ,0.5924;
26 ,1.4278450080871583 ,0.53866 ,1.2732782291528135 ,0.5989;
27 ,1.4183662986373902 ,0.54142 ,1.3236261501479833 ,0.5868;
28 ,1.4230199319458008 ,0.5412 ,1.2282220671732966 ,0.6084;
29 ,1.4226717405700684 ,0.54128 ,1.3132379264496385 ,0.5906;
30 ,1.4126266666030884 ,0.54592 ,1.2101358935094109 ,0.6196;
31 ,1.4065213176727296 ,0.54906 ,1.25041535239631 ,0.6047;
32 ,1.3995769548034669 ,0.55272 ,1.2462065802595486 ,0.6066;
