iteration , Loss , acc , valLoss , valAcc
0 ,1.8309517367553712 ,0.36046 ,1.5443482913970947 ,0.4397
1 ,1.4106902460098267 ,0.49278 ,1.3854267023086548 ,0.4939
2 ,1.242207047920227 ,0.55568 ,1.3257169094085692 ,0.5191
3 ,1.121348282661438 ,0.60152 ,1.2847880676269532 ,0.5389
4 ,1.0062565634155274 ,0.64804 ,1.2463491039276122 ,0.5552
5 ,0.9038673439598084 ,0.68588 ,1.2053472877502442 ,0.5721
6 ,0.8082074066352845 ,0.72424 ,1.1724752962112426 ,0.5853
7 ,0.7155881633377075 ,0.75736 ,1.1752424653053284 ,0.5918
8 ,0.6333694996070862 ,0.79048 ,1.2487435405731202 ,0.5769
9 ,0.5466585179615021 ,0.82362 ,1.1764900190353393 ,0.6033
10 ,0.4698280037498474 ,0.85438 ,1.2072396207809448 ,0.5965
11 ,0.39068953245639804 ,0.8847 ,1.2341125242233277 ,0.5922
12 ,0.3245500477027893 ,0.91076 ,1.2591700967788697 ,0.6052
13 ,0.26577478788852693 ,0.9319 ,1.293864017868042 ,0.5954
14 ,0.210503742210865 ,0.95222 ,1.279850078010559 ,0.6035
15 ,0.1702337133216858 ,0.96412 ,1.3037751283645629 ,0.6057
16 ,0.1337547786283493 ,0.97682 ,1.3277309003829956 ,0.6087
17 ,0.107987491979599 ,0.98398 ,1.3661248929977416 ,0.6067
18 ,0.08600487890601158 ,0.9888 ,1.3605227153778077 ,0.6118
19 ,0.07055630367636681 ,0.9925 ,1.3882782606124877 ,0.6135
