iteration ; Loss ; acc ; valLoss ; valAcc
1;2.714970959;0.13878;2.572134916;0.2063
2;2.524377033;0.19568;2.526093869;0.1836
3;2.382919071;0.2279;2.322566279;0.2556
4;2.238045229;0.27786;2.167252825;0.2957
5;2.116372281;0.31066;2.189918843;0.3043
6;1.969342172;0.35936;2.086733585;0.3241
7;1.865734129;0.3931;1.96951788;0.3705
8;1.777311253;0.42074;1.754156046;0.4358
9;1.71219347;0.44456;1.788086764;0.4212
10;1.652870979;0.4622;1.72745506;0.4349
11;1.630809708;0.474;1.798841965;0.4129
12;1.626068746;0.4742;1.661827289;0.444
13;1.619195032;0.47504;1.656560676;0.4663
14;1.600353245;0.47858;1.853816049;0.4077
15;1.578503419;0.48496;1.572655242;0.477
16;1.543126305;0.49898;1.559208084;0.4935
17;1.491876555;0.51708;1.478503733;0.5257
18;1.446428311;0.53706;1.457366564;0.53
19;1.392905815;0.5548;1.501602551;0.5185
20;1.356359654;0.57156;1.542763892;0.5108
21;1.329566085;0.58258;1.611753599;0.4844
22;1.32317824;0.58636;1.490844649;0.5233
23;1.320117542;0.58552;1.427822596;0.5415
24;1.310703315;0.58902;1.579156268;0.4868
25;1.295560038;0.59956;1.559646069;0.5188
26;1.279873149;0.60364;1.466862503;0.5408
27;1.248653368;0.61634;1.477180162;0.531
28;1.216245773;0.62892;1.54743067;0.5066
29;1.191006959;0.63664;1.41079051;0.5531
30;1.167163665;0.6495;1.448276456;0.5484
31;1.157296867;0.65312;1.376592448;0.5707
32;1.155067512;0.65248;1.457814783;0.5434
33;1.154672049;0.65266;1.46262477;0.5431
34;1.152775393;0.65442;1.486302773;0.5509
35;1.147874898;0.657;1.507312191;0.546
36;1.136044295;0.66282;1.391489772;0.5686
37;1.120067612;0.66778;1.462057531;0.5499
38;1.102748504;0.6765;1.30399055;0.6021
39;1.088715403;0.68094;1.44337675;0.5833
40;1.075032165;0.685;1.488209213;0.5389
41;1.068584463;0.68726;1.294792219;0.598
42;1.065264143;0.6881;1.342477916;0.5925
43;1.059061476;0.69222;1.410929619;0.5699
44;1.065191675;0.68752;1.564596803;0.5346
45;1.061456397;0.69194;1.340386554;0.5947
46;1.055616973;0.69252;1.435998023;0.5667
47;1.046179972;0.70166;1.34686399;0.5947
48;1.029489397;0.70546;1.33976285;0.6034
49;1.020763829;0.70872;1.384123357;0.5864
50;1.011172611;0.7116;1.321552665;0.6018
51;1.003000345;0.71614;1.214036553;0.6449
