iteration , Loss , acc , valLoss , valAcc
1 ,2.158749884185791 ,0.35764 ,2.2789421546192594 ,0.3236
2 ,1.8225448970794678 ,0.46236 ,1.7876788686258724 ,0.4544
3 ,1.6138319441986084 ,0.5284 ,1.5737668508157943 ,0.5425
4 ,1.4932311618041991 ,0.56822 ,2.017429212792613 ,0.4313
5 ,1.3993754907608031 ,0.59376 ,1.566797767393886 ,0.5604
6 ,1.3307607468032836 ,0.6158 ,1.8679198007614086 ,0.5125
7 ,1.2735084020996095 ,0.64176 ,1.2709690433340712 ,0.6656
8 ,1.2357989217376708 ,0.6599 ,1.4748980111588303 ,0.5928
9 ,1.2103428259277345 ,0.67192 ,1.2538920608572304 ,0.6807
10 ,1.1839454682159425 ,0.68388 ,1.2255954900488686 ,0.6965
11 ,1.171899292678833 ,0.69406 ,2.0032158054101963 ,0.5001
12 ,1.1590775521850587 ,0.69904 ,1.1624319302007413 ,0.7129
13 ,1.1493316830825806 ,0.70976 ,1.2589623219669817 ,0.701
14 ,1.1433550526809693 ,0.71692 ,1.2841032162641945 ,0.6993
15 ,1.143047174873352 ,0.71884 ,1.6405261351277654 ,0.6197
16 ,1.132541760635376 ,0.72248 ,1.2392129086838743 ,0.716
17 ,1.130163833580017 ,0.72506 ,1.1235912078485701 ,0.7483
18 ,1.1295595222091674 ,0.7291 ,1.2308270196183422 ,0.7159
19 ,1.1259919907951355 ,0.7321 ,1.2259013340496028 ,0.7136
20 ,1.1172409343338012 ,0.73464 ,1.9173290063017092 ,0.612
21 ,1.1208980513381959 ,0.73486 ,1.2042526816026853 ,0.73
22 ,1.1193261877059937 ,0.73796 ,1.820195094655497 ,0.6067
23 ,1.1154600566482544 ,0.74144 ,1.1746278186194814 ,0.7429
24 ,1.119288544883728 ,0.74072 ,1.4059519485924572 ,0.668
25 ,1.115770646018982 ,0.7429 ,1.3374651523824699 ,0.6861
26 ,1.1169936891937255 ,0.74386 ,1.2640846748702443 ,0.7269
27 ,1.1206157481765746 ,0.74476 ,1.1798557964757608 ,0.7403
28 ,1.1147427070999145 ,0.74804 ,1.3019780992699888 ,0.7063
29 ,1.1094022341537475 ,0.74662 ,1.2730603960756295 ,0.7191
30 ,1.1145349003601075 ,0.74728 ,1.236031318244081 ,0.7341
31 ,1.113693339767456 ,0.74684 ,1.2889990018198665 ,0.7265
32 ,1.1159540300750732 ,0.7484 ,1.1587171939234384 ,0.747
33 ,1.1143854370498658 ,0.74754 ,1.0561892007486509 ,0.7761
34 ,1.1149534063339233 ,0.75 ,1.1353182682214074 ,0.7523
35 ,1.1173648538208008 ,0.74888 ,1.2171968966246414 ,0.7476
36 ,1.1140748443603516 ,0.75162 ,1.072450056814919 ,0.7719
37 ,1.1139307398033143 ,0.75134 ,1.1864347221752325 ,0.7579
38 ,1.1131438990020752 ,0.75332 ,1.1436064151910166 ,0.7566
39 ,1.1116036451339721 ,0.75314 ,1.2655299559187965 ,0.729
40 ,1.1116417118263244 ,0.75418 ,1.1986038547735245 ,0.7278
41 ,1.1075886054229735 ,0.75546 ,1.1822255236625672 ,0.7497
42 ,1.1059784642219543 ,0.75504 ,1.2088385252906872 ,0.727
43 ,1.113002019958496 ,0.75462 ,1.2857544281231328 ,0.7229
44 ,1.099079700050354 ,0.75772 ,1.2827917946794163 ,0.7213
45 ,1.1140127404785156 ,0.75448 ,1.4361803116508947 ,0.664
46 ,1.1088213659286499 ,0.75722 ,1.355999444620297 ,0.6667
47 ,1.1072749169540406 ,0.75672 ,1.2238692155661293 ,0.7197
48 ,1.0999571529388428 ,0.75848 ,1.3880850518473422 ,0.7133
49 ,1.1065001454925538 ,0.75742 ,1.365005961622293 ,0.7075
50 ,1.1045844738006592 ,0.75714 ,1.4689006822558637 ,0.6823
51 ,1.1047884474563598 ,0.75802 ,1.2562069287315345 ,0.7297
52 ,1.1092258775520325 ,0.75578 ,1.3295197151720333 ,0.7165
53 ,1.1045074396133423 ,0.7591 ,1.1222500168858245 ,0.7726
54 ,1.1047659785842896 ,0.75694 ,1.302699787548175 ,0.7198
55 ,1.1017686827850341 ,0.76278 ,1.1874300563297333 ,0.7445
56 ,1.10892697681427 ,0.75852 ,1.1059330587569898 ,0.768
57 ,1.1084662050247192 ,0.75898 ,1.1000011776582883 ,0.7661
58 ,1.1154373043060302 ,0.7569 ,1.0466955749752422 ,0.7891
59 ,1.1088058721923828 ,0.76034 ,1.1544051726405231 ,0.7646
60 ,1.1014879248809815 ,0.76246 ,1.2704581361228284 ,0.7384
61 ,1.1038643993759156 ,0.76058 ,1.9752215912547737 ,0.5556
62 ,1.102879432106018 ,0.76152 ,1.3944978653051603 ,0.7049
63 ,1.1031144690704346 ,0.7604 ,1.2660408568458434 ,0.7245
64 ,1.1030697968292236 ,0.76058 ,1.1103944207151857 ,0.7649
65 ,1.1081391969680787 ,0.75948 ,1.1667167993780143 ,0.7512
66 ,1.1102228012847901 ,0.76066 ,1.1974327221465186 ,0.7559
67 ,1.1098071478271485 ,0.7609 ,1.4021362824181018 ,0.6865
68 ,1.1107450357437134 ,0.75986 ,1.2372674338352947 ,0.7393
69 ,1.107481165676117 ,0.76322 ,1.1143974328574282 ,0.7594
70 ,1.108226107521057 ,0.76206 ,1.135526078958481 ,0.782
71 ,1.107485541152954 ,0.75968 ,1.1901222572159083 ,0.7651
72 ,1.109134441795349 ,0.76034 ,1.2421316454966609 ,0.7349
73 ,1.1064864239120484 ,0.76156 ,1.1229506456813874 ,0.7664
74 ,1.1022551586532592 ,0.7634 ,1.4740290845544954 ,0.6979
75 ,1.1037769131088258 ,0.76288 ,1.7793371949713832 ,0.671
76 ,1.105635131149292 ,0.76306 ,1.2234833941292078 ,0.7456
77 ,1.1119636137771607 ,0.76102 ,1.4903797366367741 ,0.6625
78 ,1.1098020835494995 ,0.761 ,1.1885320146243794 ,0.7578
79 ,1.1061672406768799 ,0.76102 ,1.2416755039090166 ,0.7552
80 ,1.1036849026870728 ,0.76268 ,1.3455500804578153 ,0.7198
81 ,1.109772651348114 ,0.7645 ,1.0413641470689743 ,0.7946
82 ,1.1048693132781982 ,0.76268 ,1.070629335630435 ,0.7892
83 ,1.101507481994629 ,0.76484 ,1.1407142437685032 ,0.7587
84 ,1.1062885883712767 ,0.76158 ,1.2727737573389046 ,0.7483
85 ,1.101862521495819 ,0.76532 ,1.2525354256264318 ,0.7493
86 ,1.106168817176819 ,0.7629 ,1.3948828831267432 ,0.7094
87 ,1.1095283200073243 ,0.76094 ,1.198800967714657 ,0.7573
88 ,1.108210583076477 ,0.76216 ,1.1493247452254494 ,0.7588
89 ,1.105828968849182 ,0.76404 ,1.1523873297551188 ,0.7466
90 ,1.1030782485961914 ,0.76416 ,1.083572706094565 ,0.7901
91 ,1.0981664934539794 ,0.76564 ,1.1985704154252244 ,0.7548
92 ,1.102184549560547 ,0.76378 ,1.1120553675551004 ,0.7865
93 ,1.0997521196365356 ,0.76566 ,1.127921022546177 ,0.777
94 ,1.1054145125961303 ,0.76412 ,1.154040192072384 ,0.7614
95 ,1.106669081954956 ,0.763 ,1.4445809438205754 ,0.7347
96 ,1.1064210004615784 ,0.7625 ,1.0808133557200812 ,0.7863
97 ,1.099658464279175 ,0.76478 ,1.0989222052379157 ,0.7744
98 ,1.1129249028015136 ,0.76348 ,1.1654683627640476 ,0.7762
99 ,1.1059125924301147 ,0.76522 ,0.9877550087797756 ,0.8141
100 ,1.100792458152771 ,0.76654 ,1.1236330006069268 ,0.7809
101 ,1.1056570425796508 ,0.76506 ,1.288164973068542 ,0.742
102 ,1.1041873068618775 ,0.76238 ,1.3813598494941053 ,0.7249
103 ,1.1048073758506776 ,0.76454 ,1.1880511437742094 ,0.7708
104 ,1.1107632154464722 ,0.7595 ,1.0706546813154374 ,0.7892
105 ,1.1001871361923217 ,0.76722 ,1.0285506187536466 ,0.8015
106 ,1.1041938047409057 ,0.76552 ,1.3682975637646149 ,0.7206
107 ,1.1049809980392455 ,0.76344 ,1.5823186239876306 ,0.6826
108 ,1.1032012182235718 ,0.76746 ,1.1080373106673123 ,0.7742
109 ,1.101845179862976 ,0.7652 ,1.1321769322450168 ,0.7703
110 ,1.1019982066726686 ,0.76512 ,1.6376506069216865 ,0.6667
111 ,1.1055072860336304 ,0.76388 ,1.291734617929489 ,0.7394
112 ,1.1178063573074342 ,0.76064 ,1.2545790910339965 ,0.7579
113 ,1.105659112739563 ,0.76542 ,1.1690577213375712 ,0.7603
114 ,1.1072937934112548 ,0.76398 ,1.1600709374720297 ,0.7652
115 ,1.1005038152694702 ,0.76648 ,1.1871578034501487 ,0.7628
116 ,1.1003814051818848 ,0.76658 ,1.230432162460047 ,0.7588
117 ,1.1014437564086914 ,0.76698 ,1.0265424575287694 ,0.802
118 ,1.1107451288604737 ,0.7631 ,1.0564813410131315 ,0.7932
119 ,1.1026159212112427 ,0.76626 ,1.1666841097533132 ,0.7663
120 ,1.0982523905563355 ,0.76692 ,1.163130031035731 ,0.7579
121 ,1.1026268656730651 ,0.7663 ,1.2422483226361747 ,0.7477
122 ,1.1072626975631714 ,0.76522 ,1.1047956583598932 ,0.7777
123 ,1.1023618899345398 ,0.7678 ,1.1255773816245813 ,0.7741
124 ,1.1015776030731201 ,0.76662 ,1.2034060393278592 ,0.7513
125 ,1.1051507569503785 ,0.7664 ,1.261716927392795 ,0.7372
126 ,1.1000748487472534 ,0.76762 ,1.1532224249154235 ,0.7765
127 ,1.0979297395896912 ,0.76942 ,1.0722893619308838 ,0.7872
128 ,1.10589195022583 ,0.7666 ,1.162927634418963 ,0.7621
129 ,1.094180263557434 ,0.7687 ,1.1320628163913569 ,0.7764
130 ,1.1035402782440185 ,0.76586 ,1.0816452655548485 ,0.7898
131 ,1.1065684174346924 ,0.765 ,1.45127057134153 ,0.7002
132 ,1.1091131431961059 ,0.76398 ,1.2083490873678042 ,0.761
133 ,1.1091407538032532 ,0.76576 ,1.100173702636085 ,0.7851
134 ,1.0978381834411621 ,0.7692 ,1.2799724711777685 ,0.7277
135 ,1.1032130432128906 ,0.76616 ,1.1359726866594138 ,0.7819
136 ,1.1003497406387328 ,0.76722 ,1.0227916061687774 ,0.7983
137 ,1.1100078256607055 ,0.76178 ,1.113018155669252 ,0.7681
138 ,1.1012363262557983 ,0.76566 ,1.6288897848357788 ,0.6353
139 ,1.0995036618423462 ,0.7673 ,1.2082143696352317 ,0.7525
140 ,1.0958827767562866 ,0.76764 ,1.5100591247455 ,0.6828
141 ,1.1007294075012206 ,0.76564 ,1.0359256623652036 ,0.7947
142 ,1.0948602133560181 ,0.76998 ,1.1433019832300302 ,0.7712
143 ,1.1011104027938843 ,0.76566 ,1.2109331300083441 ,0.7473
144 ,1.0976837375640869 ,0.76796 ,1.0522450063937008 ,0.796
145 ,1.1109404496383668 ,0.76412 ,1.085165500450439 ,0.7785
146 ,1.1008465104675293 ,0.76956 ,1.3734033896138493 ,0.7281
147 ,1.0984927890205383 ,0.76974 ,1.2260186895013998 ,0.7516
148 ,1.0997859601211548 ,0.76734 ,1.3522428754038704 ,0.7188
149 ,1.1038576588821412 ,0.7658 ,1.1533336321385905 ,0.7583
150 ,1.1032252236175537 ,0.76812 ,1.0376238106919553 ,0.7964
151 ,1.1014396448516846 ,0.76692 ,1.104355776271881 ,0.7623
152 ,1.1025500001144408 ,0.7661 ,1.0584732021767491 ,0.7888
153 ,1.0981994197082519 ,0.76898 ,1.2551112685340662 ,0.7415
154 ,1.1021805490493775 ,0.76922 ,1.3560805393103212 ,0.7105
155 ,1.1043865315628052 ,0.76662 ,1.1631518518581938 ,0.7532
156 ,1.098907038860321 ,0.76844 ,1.1305679707481457 ,0.7703
157 ,1.1049709582519531 ,0.76682 ,1.0681694747921757 ,0.7906
158 ,1.0988941569900512 ,0.76922 ,1.0671083630083469 ,0.7817
159 ,1.1035656266784668 ,0.76656 ,1.13611038976584 ,0.7679
160 ,1.10211722782135 ,0.76584 ,1.2780870298227183 ,0.736
161 ,1.0979604757881165 ,0.77046 ,1.3742329457316536 ,0.7293
162 ,1.1007452626037597 ,0.76802 ,1.073069973494679 ,0.796
163 ,1.0965629584884644 ,0.76836 ,1.237107706907839 ,0.7409
164 ,1.0999796446990966 ,0.76856 ,1.0877673926825722 ,0.7856
165 ,1.100094931125641 ,0.77022 ,1.352195862954417 ,0.6985
166 ,1.1047194890594483 ,0.7678 ,1.1580298127838597 ,0.7646
167 ,1.1046410882949829 ,0.76852 ,1.172320860262496 ,0.7664
168 ,1.1033594369506836 ,0.76814 ,1.075205251812554 ,0.7803
169 ,1.094557230682373 ,0.77032 ,1.1965144282331863 ,0.7361
170 ,1.1009063780593873 ,0.76942 ,1.169283331392672 ,0.7666
171 ,1.097538087234497 ,0.7687 ,1.1398360167448514 ,0.7775
172 ,1.1014773600387573 ,0.77052 ,1.2053645906356958 ,0.7632
173 ,1.1079060586357117 ,0.76546 ,1.0956587614342808 ,0.7898
174 ,1.0978272870635986 ,0.7704 ,1.1851533180989398 ,0.7579
175 ,1.0993884204864501 ,0.76906 ,1.4354523203243463 ,0.7027
