iteration , Loss , acc , valLoss , valAcc
1 ,2.831570762634277 ,0.11518 ,2.7440270614624023 ,0.1429
2 ,2.636986639022827 ,0.18606 ,2.5669858026504517 ,0.2085
3 ,2.505922317504883 ,0.2168 ,2.4082820773124696 ,0.2366
4 ,2.3984043526649477 ,0.23586 ,2.287172267436981 ,0.2641
5 ,2.279600061416626 ,0.2714 ,2.1989610278606415 ,0.2894
6 ,2.14728058385849 ,0.31636 ,2.065166243314743 ,0.3451
7 ,2.044265636444092 ,0.35274 ,1.9614107084274293 ,0.3769
8 ,1.955842222929001 ,0.38326 ,1.9659356260299683 ,0.3492
9 ,1.8796169300079346 ,0.40626 ,1.9515340399742127 ,0.3721
10 ,1.8231486203670502 ,0.4227 ,2.038711121082306 ,0.3451
11 ,1.7669691271781922 ,0.4382 ,1.7581069839000703 ,0.4404
12 ,1.731216317176819 ,0.44834 ,1.7149890232086182 ,0.4542
13 ,1.6802695071697236 ,0.46284 ,1.7775489747524262 ,0.4392
14 ,1.6417672500610352 ,0.47716 ,1.7760614228248597 ,0.4489
15 ,1.6058030624389648 ,0.4872 ,1.7823992252349854 ,0.4392
16 ,1.5770300645828248 ,0.49892 ,1.835326166152954 ,0.4048
17 ,1.5358319840431214 ,0.51078 ,1.7358892476558685 ,0.4432
18 ,1.508215245246887 ,0.5253 ,1.6364800703525544 ,0.467
19 ,1.4785542466640473 ,0.53574 ,1.485251315832138 ,0.5334
20 ,1.4424468030929565 ,0.55036 ,1.6945053851604461 ,0.4661
21 ,1.4054617059230805 ,0.56352 ,1.445261274576187 ,0.5444
22 ,1.3761398138999938 ,0.57668 ,1.5844664585590362 ,0.5038
23 ,1.3319210228919982 ,0.59718 ,1.4922339963912963 ,0.5324
24 ,1.2953747394084931 ,0.61004 ,1.5306925368309021 ,0.5202
25 ,1.271920965909958 ,0.61994 ,1.4025020539760589 ,0.5814
26 ,1.2450369336605072 ,0.63208 ,1.4010720884799956 ,0.5775
27 ,1.2198756221532823 ,0.64594 ,1.4281673896312714 ,0.5615
28 ,1.2011413779258728 ,0.65378 ,1.392866702079773 ,0.5732
29 ,1.1823141797780992 ,0.66352 ,1.2176850020885468 ,0.6532
30 ,1.1515676211118697 ,0.67388 ,1.4133931481838227 ,0.5852
31 ,1.1440996925830842 ,0.67914 ,1.2361346036195755 ,0.6552
32 ,1.1292150585651397 ,0.68722 ,1.356403876543045 ,0.6003
33 ,1.1118974545001983 ,0.69484 ,1.3031001210212707 ,0.6154
34 ,1.0923523228168488 ,0.70158 ,1.2516387856006623 ,0.6383
35 ,1.0878890503644942 ,0.7064 ,1.2953147220611572 ,0.6385
36 ,1.073770109295845 ,0.71468 ,1.1316135948896409 ,0.6914
37 ,1.0600657730102538 ,0.71876 ,1.1949696826934815 ,0.6648
38 ,1.048137355685234 ,0.72394 ,1.3771993112564087 ,0.6071
39 ,1.0395520244836807 ,0.73018 ,1.2228861677646636 ,0.6641
40 ,1.0344406512975692 ,0.73394 ,1.3255122089385987 ,0.636
41 ,1.0187521983385086 ,0.74192 ,1.2112136137485505 ,0.6718
42 ,1.0136650915145875 ,0.74422 ,1.3021364676952363 ,0.651
43 ,0.9987704466581344 ,0.75102 ,1.1660874426364898 ,0.6864
44 ,0.9959826266765595 ,0.75374 ,1.3693216633796692 ,0.6248
45 ,0.986843388557434 ,0.76 ,1.080937336087227 ,0.7294
46 ,0.981465833902359 ,0.76162 ,1.1063838195800781 ,0.7191
47 ,0.9767337622642517 ,0.7642 ,1.1282065737247466 ,0.7144
48 ,0.9643908450603486 ,0.76944 ,1.1209150677919388 ,0.7141
49 ,0.9592608081102372 ,0.77432 ,1.1382393419742585 ,0.7089
50 ,0.9632926225662232 ,0.77466 ,1.1445938706398011 ,0.7028
51 ,0.9483839735984803 ,0.77888 ,1.5525414216518403 ,0.5881
52 ,0.9437850234508515 ,0.78294 ,1.042039144039154 ,0.7421
53 ,0.9472338790893555 ,0.78122 ,1.1784155941009522 ,0.7058
54 ,0.9307529299259186 ,0.78898 ,1.1067081516981125 ,0.7354
55 ,0.9234266463518143 ,0.79196 ,0.999817008972168 ,0.7566
56 ,0.9231638977527619 ,0.79118 ,1.0931232625246048 ,0.7293
57 ,0.9256505630016327 ,0.79378 ,1.0291295164823533 ,0.7575
58 ,0.9197904504537583 ,0.79652 ,1.0067278456687927 ,0.7698
59 ,0.9161763781309128 ,0.79784 ,0.9854259365797042 ,0.776
60 ,0.9082100243568421 ,0.80136 ,1.0191606521606444 ,0.7651
61 ,0.8983431422710418 ,0.80588 ,1.0380004340410232 ,0.7618
62 ,0.8991044055223465 ,0.80524 ,1.1078837364912033 ,0.7291
63 ,0.8979368934631348 ,0.80538 ,0.9682664990425109 ,0.7858
64 ,0.894128250002861 ,0.80756 ,0.9973966580629349 ,0.776
65 ,0.8943092930316925 ,0.80974 ,1.2466039776802063 ,0.6844
66 ,0.8893115177154541 ,0.81316 ,0.9748827630281448 ,0.7876
67 ,0.8895298459529877 ,0.8117 ,1.1036199927330017 ,0.7357
68 ,0.8772357482910156 ,0.8176 ,1.0530293411016465 ,0.755
69 ,0.8758629804849625 ,0.81742 ,1.1598901653289795 ,0.722
70 ,0.8784626529216767 ,0.81946 ,1.2417829471826554 ,0.6969
71 ,0.8772358812093735 ,0.82004 ,1.0864793854951857 ,0.745
72 ,0.8685905104875564 ,0.82238 ,0.9721484619379044 ,0.7905
73 ,0.8739936506748199 ,0.82082 ,0.997732691168785 ,0.7813
74 ,0.8692941461801529 ,0.82344 ,1.052404990196228 ,0.7558
75 ,0.8644778192043304 ,0.82672 ,1.0861026149988176 ,0.7508
76 ,0.8665780715942383 ,0.82416 ,1.0404228287935258 ,0.7659
77 ,0.8618704096078873 ,0.8273 ,1.051853221654892 ,0.7631
78 ,0.8545938873291016 ,0.83086 ,1.1216503071784973 ,0.7392
79 ,0.8473788237571717 ,0.83268 ,0.9782358646392822 ,0.7893
