iteration ; Loss ; acc ; valLoss ; valAcc
1;2.610651273;0.15438;2.436199255;0.1924
2;2.361020989;0.20864;2.255886047;0.2299
3;2.196157262;0.24392;2.032947891;0.2897
4;2.080159672;0.27292;1.93788099;0.3093
5;1.993355459;0.29216;1.84919492;0.3447
6;1.926365076;0.3136;1.860702276;0.3397
7;1.871003728;0.33476;1.758365447;0.3786
8;1.827631956;0.34902;1.728507698;0.3896
9;1.795234265;0.36486;1.717933159;0.3958
10;1.76214213;0.38102;1.636719408;0.4295
11;1.734234771;0.39724;1.675847407;0.4228
12;1.705378348;0.41182;1.699260828;0.3889
13;1.67312277;0.42578;1.58189695;0.4503
14;1.636934447;0.44666;1.617925623;0.4606
15;1.611116699;0.46094;1.710972568;0.4098
16;1.595612395;0.47352;1.585802063;0.4935
17;1.564803081;0.4911;1.518538534;0.5119
18;1.538300927;0.50542;1.608352241;0.4749
19;1.531847811;0.51708;1.441962461;0.546
20;1.513222502;0.52376;1.487867113;0.5472
21;1.493548522;0.5379;1.394497601;0.5774
22;1.482264298;0.54722;1.403997413;0.5698
23;1.47377309;0.55442;1.534215845;0.5182
24;1.460683376;0.56518;1.384277295;0.5938
25;1.437479903;0.57612;1.403931396;0.6005
26;1.426865405;0.584;1.455853549;0.5714
27;1.422762907;0.5881;1.297937899;0.6409
28;1.408152757;0.59554;1.333405425;0.6302
29;1.40399084;0.6014;1.408634527;0.6126
30;1.398498747;0.60528;1.28317285;0.661
31;1.393050803;0.60924;1.270329777;0.6575
32;1.378071947;0.61876;1.34051828;0.6465
33;1.367895912;0.62558;1.45641668;0.6147
34;1.370720526;0.6268;1.306285494;0.6616
35;1.361652209;0.6339;1.352918923;0.6451
36;1.35261638;0.63866;1.424821488;0.6377
37;1.347095688;0.64252;1.252503311;0.6771
38;1.344561085;0.64592;1.239213874;0.6856
39;1.339331952;0.65;1.27847264;0.6782
40;1.340229348;0.65102;1.29771894;0.6749
41;1.334130214;0.6545;1.213337351;0.6922
42;1.329826897;0.65888;1.254469814;0.6989
43;1.323067728;0.6639;1.184272407;0.7165
44;1.318005202;0.66662;1.231259636;0.694
45;1.317601852;0.66698;1.319077493;0.675
46;1.308391834;0.6713;1.184894405;0.723
47;1.305645783;0.67286;1.221007049;0.706
48;1.306330585;0.67522;1.200585684;0.725
49;1.303332107;0.6807;1.227550994;0.7125
50;1.309879711;0.67666;1.171451192;0.7327
51;1.307297954;0.67936;1.159599308;0.7396
52;1.296606845;0.68342;1.2035721;0.7151
53;1.288570898;0.68814;1.306349542;0.6922
54;1.298536008;0.68762;1.228888662;0.7194
55;1.291426465;0.6891;1.183660222;0.7308
56;1.282069538;0.6927;1.257278883;0.7081
57;1.285482853;0.6914;1.243808499;0.7169
58;1.279287478;0.69418;1.165157162;0.7392
59;1.274448894;0.69762;1.209048756;0.7294
60;1.274670899;0.69712;1.190533658;0.7373
61;1.280809651;0.69748;1.202089492;0.7327
62;1.27846508;0.6987;1.136908927;0.7536
63;1.27229107;0.70162;1.252906601;0.7114
64;1.272888289;0.70154;1.220064281;0.7261
65;1.275658835;0.7023;1.228181695;0.7253
66;1.269070317;0.70424;1.115845435;0.7562
67;1.271574961;0.70486;1.150694187;0.7575
68;1.265011837;0.70796;1.166628322;0.7393
69;1.269925776;0.7026;1.140555854;0.7554
70;1.272832634;0.7056;1.200290572;0.739
71;1.266899532;0.70848;1.101853821;0.7707
72;1.253627047;0.71468;1.136977889;0.7596
73;1.263200125;0.70906;1.491173698;0.6516
74;1.263487352;0.71024;1.138918443;0.7599
75;1.260580991;0.71058;1.22739217;0.7302
76;1.258171251;0.71068;1.1622861;0.7602
77;1.253090487;0.71422;1.182531857;0.7416
78;1.259112699;0.71282;1.061272902;0.7853
79;1.256196648;0.71462;1.186296905;0.7462
80;1.248099367;0.71622;1.190654922;0.741
81;1.252118448;0.71626;1.180511834;0.7576
82;1.255144515;0.71668;1.185350138;0.7464
83;1.252845965;0.71612;1.078236546;0.7863
84;1.25973064;0.71668;1.244593272;0.7337
85;1.248909106;0.71656;1.147926367;0.7617
86;1.255045246;0.71858;1.121214561;0.7645
87;1.256958208;0.71366;1.179351859;0.7414
88;1.251445949;0.71734;1.18383025;0.7457
89;1.247466517;0.72122;1.153505969;0.7621
90;1.251630643;0.71882;1.133857972;0.7704
91;1.246335467;0.72082;1.087071153;0.7821
92;1.248684174;0.719;1.128142369;0.7663
93;1.248652113;0.71862;1.209677105;0.7405
94;1.257226639;0.7158;1.104113582;0.778
95;1.242969311;0.7225;1.110059442;0.7718
96;1.242268314;0.72168;1.17406038;0.7593
97;1.245045846;0.72176;1.129124914;0.7617
98;1.244259337;0.72166;1.120058965;0.7721
99;1.245031623;0.72128;1.13551427;0.7587
100;1.245360333;0.72298;1.131200957;0.7651
101;1.235760491;0.72456;1.122140623;0.769
102;1.248928855;0.71972;1.112834257;0.7753
103;1.241379002;0.72572;1.175616118;0.745
104;1.240852341;0.72512;1.134579548;0.7675
105;1.235094164;0.72664;1.087210865;0.7806
106;1.248435146;0.71906;1.360286164;0.7071
107;1.239813664;0.72788;1.127795531;0.7727
108;1.245773074;0.72482;1.113635486;0.7715
109;1.236039533;0.72654;1.155097671;0.7697
110;1.23718758;0.72624;1.17428041;0.7601
111;1.24987875;0.72118;1.186930662;0.7558
112;1.240916798;0.72594;1.092485411;0.7789
113;1.242408136;0.72308;1.140186876;0.7651
114;1.242930373;0.72624;1.193143705;0.7499
115;1.239614978;0.72598;1.228178504;0.7433
116;1.236326896;0.72864;1.196463692;0.7419
117;1.240583623;0.7258;1.286279326;0.7188
118;1.244963516;0.72556;1.320416642;0.7125
119;1.242785003;0.72622;1.149922678;0.7596
120;1.239000756;0.72628;1.156444658;0.7565
121;1.238363932;0.72546;1.133832432;0.7668
122;1.237910773;0.72748;1.127319098;0.7674
123;1.236817191;0.72772;1.125400254;0.7739
124;1.233529897;0.72932;1.197336301;0.7349
125;1.239331771;0.72606;1.151666173;0.7629
126;1.235401447;0.72984;1.123180879;0.7685
127;1.240077245;0.7284;1.23766238;0.7374
128;1.235619838;0.72836;1.160507369;0.7604
129;1.229150415;0.73042;1.181728951;0.758
130;1.236048909;0.73;1.086955206;0.7843
131;1.231642826;0.73134;1.082520849;0.7882
132;1.234437948;0.72954;1.089120489;0.789
133;1.23657657;0.7312;1.117888256;0.7746
134;1.22587267;0.72954;1.069841138;0.7914
135;1.231444753;0.73234;1.11748254;0.7726
136;1.231004448;0.73322;1.133788035;0.7753
137;1.231391891;0.73268;1.189123372;0.7516
138;1.235105091;0.73072;1.100383224;0.7828
139;1.231890251;0.73266;1.118489495;0.7757
140;1.23080926;0.73178;1.126742928;0.7799
141;1.227482938;0.7335;1.040871481;0.7984
142;1.224842051;0.7325;1.168316459;0.7642
143;1.230380271;0.73132;1.16605095;0.7598
144;1.22475662;0.73438;1.086966015;0.7922
145;1.223063487;0.73458;1.292244911;0.7213
146;1.231182997;0.73258;1.158326201;0.7558
147;1.229952145;0.73246;1.133461546;0.7707
148;1.232525325;0.73354;1.293153913;0.7407
149;1.225192277;0.7357;1.182452231;0.7589
150;1.227546208;0.73472;1.153818739;0.7661
151;1.226620639;0.73514;1.168698169;0.7569
152;1.23125115;0.73524;1.072312364;0.79
153;1.23039684;0.73508;1.259916423;0.7114
154;1.233159848;0.7353;1.054282157;0.805
155;1.228381702;0.7352;1.107488964;0.7795
156;1.219841748;0.7374;1.083076744;0.7919
157;1.230585064;0.73368;1.148186573;0.7662
158;1.230347155;0.73464;1.172002521;0.7542
159;1.225830274;0.7366;1.118675761;0.7758
160;1.219930248;0.73768;1.107804136;0.7804
161;1.228619009;0.73444;1.101235115;0.784
162;1.226468473;0.73646;1.295524247;0.7286
163;1.225388884;0.737;1.090408066;0.7808
164;1.225041846;0.73468;1.118838091;0.7755
165;1.220983959;0.7353;1.123803679;0.7706
166;1.225247823;0.73572;1.184187308;0.7646
167;1.223303128;0.73768;1.05852968;0.8017
168;1.230718688;0.73536;1.218794773;0.75
169;1.224382233;0.73622;1.286354358;0.739
170;1.230984466;0.73346;1.076882758;0.7919
171;1.223501979;0.73974;1.133396468;0.7673
172;1.229019775;0.7334;1.182443865;0.7534
173;1.224840268;0.73496;1.094845656;0.7795
174;1.222296206;0.73702;1.27221915;0.7279
175;1.222559071;0.7369;1.106610995;0.7842
176;1.228714616;0.73488;1.118505621;0.7774
177;1.223826004;0.73714;1.12664176;0.7741
178;1.212942602;0.74018;1.136514357;0.7674
179;1.222232152;0.73684;1.149998368;0.7671
180;1.226485534;0.73516;1.240403032;0.7317
181;1.222241521;0.73566;1.102076673;0.7798
182;1.229462432;0.73484;1.110390151;0.776
183;1.235850272;0.7335;1.079751533;0.7955
184;1.224460214;0.7385;1.163467403;0.7636
185;1.219069122;0.73952;1.135320209;0.7762
186;1.218351715;0.7383;1.165097478;0.7558
187;1.223306519;0.73826;1.126051442;0.7739
188;1.219056172;0.73988;1.087546755;0.7918
189;1.227983024;0.7355;1.118239862;0.7817
190;1.221566039;0.73854;1.093655046;0.7783
191;1.223278294;0.73622;1.082773693;0.7933
192;1.225703626;0.73734;1.145847653;0.7708
193;1.228531642;0.73678;1.220946647;0.7441
194;1.227387923;0.73406;1.164652845;0.7635
195;1.214660731;0.74396;1.07914071;0.7915
196;1.221505917;0.73834;1.223378197;0.7352
197;1.218010193;0.73958;1.139274464;0.7744
198;1.226584866;0.7355;1.080862644;0.7889
199;1.225907757;0.73814;1.159159841;0.7632
200;1.222543492;0.73728;1.102457691;0.7862
201;1.216769641;0.74168;1.120137511;0.7793
202;1.048447444;0.79998;0.974761207;0.8233
