iteration , Loss , acc , valLoss , valAcc
0 ,1.4106758707809448 ,0.49748 ,1.138612641620636 ,0.598
1 ,0.9359975304222107 ,0.6685 ,0.8505462517261505 ,0.7062
2 ,0.728451206665039 ,0.74484 ,0.7116179664611817 ,0.7542
3 ,0.5893177776145935 ,0.7944 ,0.7269022291183471 ,0.7516
4 ,0.47105205522060395 ,0.83684 ,0.6248887027740478 ,0.7929
5 ,0.35432936069488524 ,0.8771 ,0.6120304203987121 ,0.8047
6 ,0.25502244053006173 ,0.91044 ,0.6357679127693177 ,0.8065
7 ,0.1789299995547533 ,0.93644 ,0.669208316373825 ,0.8093
8 ,0.1240932473090291 ,0.95668 ,0.7614297489643097 ,0.8102
9 ,0.10762975249439478 ,0.96198 ,0.8701405461788178 ,0.8013
10 ,0.09406701153106987 ,0.96684 ,0.8896689880132675 ,0.8067
11 ,0.08008342201097868 ,0.97168 ,0.8319280719280243 ,0.8105
12 ,0.07221779214031994 ,0.97496 ,0.8833400354385376 ,0.8076
13 ,0.06229265497282147 ,0.97848 ,0.9762800493896008 ,0.8013
14 ,0.0617769518019259 ,0.9781 ,0.9005802659988403 ,0.8115
15 ,0.05401716334771365 ,0.98078 ,0.9651440354585648 ,0.8073
16 ,0.055519510294524954 ,0.98074 ,0.9751434791207314 ,0.8131
17 ,0.04963034487102181 ,0.98252 ,0.9517938385009765 ,0.8186
18 ,0.04406198300166987 ,0.98454 ,0.9952552470445633 ,0.8141
19 ,0.044474103848552334 ,0.98374 ,1.077945812010765 ,0.8018
20 ,0.040693907915316525 ,0.98562 ,0.9705629016160965 ,0.8162
21 ,0.03862160096365958 ,0.9866 ,1.0953350570917129 ,0.8074
22 ,0.03890312857191544 ,0.98604 ,1.0090753526210785 ,0.8217
23 ,0.03516611374169355 ,0.98798 ,1.006061023592949 ,0.8162
24 ,0.03629583444862161 ,0.98732 ,1.0771865643978118 ,0.8077
